	sex	residence	name	blood_group	birthdate	address	current_location	race	ssn
24	M	"97253 Rickey Prairie Apt. 671
Carolynville, SD 43990"	Eduardo Reynolds	B+	08/31/1943, 00:00:00	"1969 Michael Freeway Apt. 027
North Jennaland, WY 76899"	(Decimal('76.485090'), Decimal('-31.607303'))	White	669-68-0861
25	F	"4881 Derek Center
Port Allentown, DE 35479"	Lori Burns	AB+	11/29/1993, 00:00:00	"2382 Beverly Loaf Apt. 309
North Arianaland, DC 97322"	(Decimal('-35.046419'), Decimal('34.497993'))	Asian	153-41-1063
26	M	"80752 Nichols Meadows Suite 235
Orozcofurt, MN 22152"	Mr. Samuel Wallace	A+	1922-08-08	"84361 Jason Burgs Suite 209
West Ryanborough, MI 61735"	(Decimal('42.141039'), Decimal('-138.876118'))	Asian	083-80-6445
27	M	"261 Baker Ranch
Deborahview, VT 41160"	Michael Turner	AB+	1912-07-31	"17065 Travis Shoal
Howardburgh, MN 87083"	(Decimal('-85.376237'), Decimal('170.891597'))	White	569-58-5783
28	F	"422 Stephens Circles
South Garyborough, DE 55041"	Lisa Brown	AB+	24 Apr 1944	"01594 Hernandez Rue Suite 039
Lake Robert, DC 39650"	(Decimal('5.012709'), Decimal('17.002190'))	Indian	557-85-6437
29	F	"03752 Jennifer Port
New Jennifer, MO 60413"	Mary Diaz	A+	05/02/1943, 00:00:00	"919 Harper Road Suite 162
New Michael, AR 22892"	(Decimal('-45.357602'), Decimal('59.544854'))	White	359-11-7519
30	M	"917 Martin Drive Suite 459
Mayofurt, NC 80460"	Joshua Thompson	A+	01/10/2001, 00:00:00	"625 Joseph Well Suite 639
New Chadborough, NM 68636"	(Decimal('3.1963855'), Decimal('91.683609'))	White	276-36-4899
31	M	"472 Smith Prairie
West Robertbury, WY 40637"	Jeffrey Wilson	O-	09/23/1941, 00:00:00	"84658 Ashley Pines Apt. 090
Seanchester, AK 14313"	(Decimal('-58.971243'), Decimal('-165.733615'))	Black	342-74-2017
32	F	"USCGC Harrison
FPO AA 06430"	Kelsey Smith	A+	1958/07/27	"943 Brenda Trail Suite 777
Andreaborough, ME 54832"	(Decimal('67.8400395'), Decimal('-161.273111'))	Black	865-24-0620
33	F	"836 Stephanie Pine Apt. 248
Barajastown, UT 65726"	Wendy Day	B+	1994-05-26	"10381 Gregory Mountains
East Michael, GA 30272"	(Decimal('-75.772478'), Decimal('75.418142'))	White	550-45-8549
34	M	"98542 Maxwell Turnpike
West Annland, NV 18411"	Eric Smith	AB+	2001-05-14	"2776 Morton Streets
Kimport, IA 11540"	(Decimal('-37.054348'), Decimal('-82.315100'))	White	565-33-2505
35	F	"Unit 0303 Box 3447
DPO AE 92974"	Priscilla Stephens	O-	16 Nov 2014	"913 Lance Tunnel
South Ashley, ME 25759"	(Decimal('-54.602776'), Decimal('-93.281503'))	White	242-07-7531
36	M	"08978 Albert Vista
South Allison, ND 66399"	Jeremy Richardson	B-	16 Jun 1989	"1895 Destiny Islands Apt. 719
Mariebury, MS 46758"	(Decimal('7.090444'), Decimal('-7.278992'))	Asian	671-84-3338
37	F	"48587 Frank Islands Apt. 320
North Trevorburgh, ME 39416"	Kimberly Lambert	A-	30 Sep 1999	"2741 Juan Lights Suite 393
East Sophia, ME 58068"	(Decimal('67.2343555'), Decimal('-90.071386'))	White	698-16-4106
38	F	"97652 Harry Plaza Apt. 788
West Jamesside, NM 77314"	Danielle Robinson	O+	1907-06-11	"21659 Park Dam Suite 365
Lake Meghan, AZ 63556"	(Decimal('50.593304'), Decimal('-99.818492'))	White	447-41-7581
39	F	"26139 Roy Neck
Alexanderland, AR 32935"	Nicole Campbell	A+	10/28/1967, 00:00:00	"76610 Petersen Garden Suite 804
South Andrea, AZ 93262"	(Decimal('-63.550247'), Decimal('55.540561'))	White	172-17-8151
40	M	"9801 Michelle Track Suite 292
Port Hannah, WY 93660"	Brian Hansen	AB+	1971-02-01	"52627 Jeremy Estates Apt. 418
Ortizfort, PA 49638"	(Decimal('76.0793315'), Decimal('-176.169389'))	White	497-35-4763
41	F	"3087 Thornton Forge Suite 281
Erichaven, VT 31595"	Tamara Suarez	A+	2014-01-06	"451 Bowman Row Suite 962
Lake Johnfort, IA 27626"	(Decimal('-63.8463615'), Decimal('-116.448386'))	White	182-21-4335
42	F	"075 Shannon Drive
Leonchester, RI 26123"	Rebecca Williams	B-	1960/06/11	"3503 Ortiz Lodge
Murphyborough, WV 99488"	(Decimal('-40.5219675'), Decimal('178.265159'))	White	559-76-9803
43	F	"95284 Shelton Cape Apt. 240
Jacobshire, MA 31855"	Miranda Martin	AB+	2006-01-03	"504 Ferrell Harbors
Singletonton, ME 30733"	(Decimal('14.493730'), Decimal('148.728603'))	Black	558-68-1458
44	M	"Unit 3576 Box 9007
DPO AP 01704"	Zachary Ramos	A+	03 Oct 1945	"816 Nicholas Villages
Port Gary, AR 63879"	(Decimal('-14.202229'), Decimal('-1.521762'))	Indian	377-87-6060
45	M	"44579 Jimenez Branch Suite 939
East Justinshire, CA 33216"	Michael Richards	A+	1988-05-10	"0609 Conway Light Apt. 038
Josephshire, FL 17812"	(Decimal('-27.3551685'), Decimal('-158.589060'))	Black	661-63-2363
46	F	"574 Jessica Prairie
Karenborough, NH 80746"	Marilyn Mcclain	AB-	03/27/2008, 00:00:00	"6038 Linda Plaza
Darinburgh, FL 62346"	(Decimal('-25.0531445'), Decimal('111.677405'))	White	198-19-1140
47	M	"USCGC Garcia
FPO AE 98411"	Steve Carroll	AB+	08/31/1919, 00:00:00	"98524 Mark Ridge Suite 970
Barkerchester, HI 74995"	(Decimal('0.6440305'), Decimal('78.816645'))	White	753-70-9225
48	F	"25740 Robert Stravenue
Katherineside, RI 39622"	Victoria Martin	B+	1957/11/14	"7480 Thomas Harbors Suite 968
South Teresaborough, NJ 07193"	(Decimal('-13.673796'), Decimal('165.013787'))	White	536-20-3861
49	M	"00192 Spears Place Apt. 858
North Stephanie, VT 99753"	John Simmons	AB-	03/26/1964, 00:00:00	"2229 Ward Union Suite 822
North Johnny, WY 81485"	(Decimal('-81.216805'), Decimal('32.943840'))	White	716-31-5739
50	F	"951 Amanda Corner
Port Jonathan, KY 66986"	Rachel Terrell	AB-	07/24/1985, 00:00:00	"5397 Robert Mall
Hansenton, FL 86242"	(Decimal('-31.9551835'), Decimal('-82.364988'))	White	850-91-2441
51	F	"636 Kimberly View Suite 268
Raymondshire, ID 83378"	Jessica Cox	A-	09/30/1916, 00:00:00	"864 Charles Trail
East Leon, KS 64221"	(Decimal('-61.3360015'), Decimal('88.739794'))	Hawaiian	291-55-6706
52	F	"PSC 1227, Box 4988
APO AA 34145"	Tina Hunter	A-	30 Dec 1987	"96047 Mario Shoal Apt. 394
Cliffordchester, VT 78572"	(Decimal('38.4679085'), Decimal('32.813110'))	Indian	878-78-5228
53	F	"4046 Owens Burg Suite 331
North Michael, MI 28889"	Deborah Martinez	A-	2001/06/02	"2910 Teresa Key Suite 225
Goodchester, MS 90906"	(Decimal('-42.033130'), Decimal('167.725499'))	Black	206-24-6695
54	M	"1735 Connie Courts
Stevenberg, CO 42392"	Michael Ingram	A-	1999-03-28	"753 Michelle Grove Apt. 151
Rebeccahaven, NH 70286"	(Decimal('-47.6637945'), Decimal('-115.277215'))	White	080-39-6313
55	M	"059 Susan Isle
Casetown, TN 08357"	Billy Mitchell	AB-	1990-01-04	"6717 Nicole Inlet Suite 774
South Jamieborough, WY 77307"	(Decimal('79.207239'), Decimal('-32.453219'))	Indian	598-59-5178
56	M	"37936 Danielle Extension
East Taylorville, AL 92827"	Preston Bass	AB-	1955/06/17	"55971 Obrien Fords
Chloeberg, AK 13947"	(Decimal('17.5319225'), Decimal('-65.465789'))	Black	733-81-6910
57	M	"8248 Matthew Pines Apt. 640
Port William, CO 44230"	Philip Hunter	AB+	08/12/1999, 00:00:00	"96801 Brown Expressway
New Donnaburgh, PA 68951"	(Decimal('66.4004655'), Decimal('160.882816'))	White	078-08-2530
58	F	"4637 Williams Falls
Owenstown, MO 07856"	Debra Jones	B-	07 Aug 2010	"47088 Christopher Extension
West Frankport, ND 02671"	(Decimal('42.717529'), Decimal('38.312138'))	White	299-89-9542
59	F	"96294 Harris Streets
Zimmermanburgh, OR 77635"	Karen Simmons	AB-	1948/12/30	"046 Hart Meadow Apt. 953
Lake Howard, AR 20077"	(Decimal('-10.971096'), Decimal('142.685403'))	White	579-81-9008
60	F	"454 Thomas Via
South Jonathan, WA 75385"	Tara Johnson	A+	1926/05/12	"9768 Ross Hill Apt. 507
North Peterville, WV 52932"	(Decimal('60.4611345'), Decimal('165.021269'))	Black	709-42-9231
61	F	"82226 Reed Court Apt. 603
Rogersbury, NC 50792"	Kimberly Nichols	A+	1971/06/14	"6187 Molina Flat Suite 609
Parkertown, MD 22000"	(Decimal('56.323805'), Decimal('-49.793247'))	Indian	793-39-6440
62	F	"94103 Hanson Circles
Estradaland, NM 77585"	Yolanda Gibson	A-	03/29/1938, 00:00:00	"538 Gutierrez Camp Apt. 635
Chanview, CT 64361"	(Decimal('12.8779285'), Decimal('163.206854'))	White	011-03-1821
63	F	"851 Wilkins Trail
Underwoodtown, OH 55079"	Lori Spence	A-	10/11/1941, 00:00:00	"62685 Norman Glen Apt. 063
West Josefurt, KY 04668"	(Decimal('-7.9161745'), Decimal('111.757387'))	White	215-03-1622
64	F	"57264 Nicholas Freeway Apt. 359
Lake Joshuahaven, WY 18729"	Vanessa Henderson	AB+	1965-08-24	"24629 Christina Glen Suite 031
Brendabury, GA 79875"	(Decimal('-87.280933'), Decimal('-81.132077'))	White	404-68-5021
65	F	"59891 Robert Extensions
South Kyleville, OK 38142"	Dana Romero	B+	1999/03/08	"45093 Jacob Place Suite 314
New Bradyshire, MD 49509"	(Decimal('25.560361'), Decimal('-156.767974'))	Black	838-81-2440
66	M	"8557 Eric Pines Apt. 873
Butlerland, TX 27017"	Michael Zhang	A+	01/13/1928, 00:00:00	"851 Moore Tunnel Apt. 391
Harrisstad, ND 97914"	(Decimal('66.901349'), Decimal('59.515687'))	White	334-88-7877
67	F	"697 Jose Park Suite 752
Rodneymouth, CT 78170"	Jennifer Bailey	B+	21 Sep 1957	"27920 Strickland Freeway Apt. 850
West Mary, WA 78787"	(Decimal('-4.052598'), Decimal('107.493936'))	Black	766-01-3964
68	F	"647 Doris Tunnel
North Ashley, WY 82875"	Jessica Davenport	AB+	10 May 1979	"943 Corey Extension Suite 624
East Patrickland, NV 16863"	(Decimal('33.9410715'), Decimal('-48.001378'))	White	032-56-2866
69	F	"6570 Claudia Plaza Suite 605
North Elizabethberg, OH 47289"	Nicole Swanson	B-	2017-02-07	"3876 Donald Junction
Brightbury, OR 87088"	(Decimal('-87.3383905'), Decimal('-42.772970'))	Black	225-57-4339
70	M	"9939 Michelle Plains Suite 390
Marcmouth, FL 07788"	John Bowman	AB-	14 Aug 1970	"50194 Louis Parkways Apt. 860
Claytonport, OR 21848"	(Decimal('-87.5710825'), Decimal('-40.512582'))	white	747-40-5006
71	F	"635 Craig Mountain
Masonland, VT 05659"	Aimee Moran	B-	1953/12/06	"81090 Brown Parkway
Rossburgh, IN 71616"	(Decimal('1.822994'), Decimal('112.085845'))	Hawaiian	798-72-9002
72	F	"523 Mccarthy Walk
Georgeport, CO 99267"	Elizabeth Johnson	O+	02/01/1941, 00:00:00	"7931 Teresa Forks
Williammouth, NE 93686"	(Decimal('22.567779'), Decimal('144.932084'))	White	165-76-4138
73	F	"02576 Anderson Drives Suite 479
Brandonport, AK 51411"	Rachel Lawson	B+	1949/10/17	"000 Meza Run
Butlerside, WV 42669"	(Decimal('81.701883'), Decimal('-150.613200'))	White	608-38-9056
74	M	"142 Elizabeth Bridge Apt. 701
Mcdanielbury, CT 32346"	Douglas Morgan	AB-	01 May 2009	"Unit 0998 Box 1577
DPO AA 67782"	(Decimal('89.193561'), Decimal('-71.404682'))	White	148-76-4629
75	F	"888 Daniel Knolls Apt. 271
Mileshaven, DC 60158"	Rachel Banks	AB+	2003/11/21	"871 Christopher Ford
Zacharyborough, WV 17338"	(Decimal('-84.336721'), Decimal('-15.372731'))	Indian	044-75-4802
76	F	"7371 Cheryl Throughway
West William, RI 99457"	Melissa Graves	O-	1961-01-14	"62934 Rice Court
Rhodesside, NV 08225"	(Decimal('-72.092370'), Decimal('-62.380511'))	Indian	002-05-3486
77	F	"00705 Richardson Brook
Port Dawn, NH 77368"	Lindsey Edwards	A+	10/15/1938, 00:00:00	"34073 Keller Burg
Holdenfort, KS 09990"	(Decimal('64.2851915'), Decimal('-117.105159'))	Asian	547-74-3052
78	M	"823 Sharon Lock
Campbellview, HI 55333"	Preston Scott	O+	1996/06/08	"92990 Tanner Circles
Monicashire, GA 70001"	(Decimal('-13.4346545'), Decimal('-103.162568'))	White	333-19-1295
79	M	"555 Corey Circle
Lake Vincentport, IN 48000"	Michael Fisher	B-	11/21/1967, 00:00:00	"63867 Orozco Course Suite 543
West Danielleborough, IA 10870"	(Decimal('-19.655945'), Decimal('-2.903100'))	Asian	668-26-7082
80	F	"74782 Jones Courts Suite 328
South Juliastad, RI 96498"	Alison Thompson	O+	12/18/2017, 00:00:00	"4335 Sloan Square
Matthewville, AK 42640"	(Decimal('59.4677285'), Decimal('-126.021821'))	White	657-62-2346
81	M	"29887 Robert Roads
Danielchester, MD 18951"	Dalton Green	AB-	18 Aug 1962	"79786 Murphy River
Hawkinsside, CO 00528"	(Decimal('-24.6278415'), Decimal('-16.914574'))	White	228-44-9577
82	M	"38107 Spencer Shoal Apt. 116
Petersenfort, SD 18645"	Louis Cook	O+	10 Nov 2009	"572 Richard Cliff Suite 811
Valerieside, NV 97503"	(Decimal('2.9939715'), Decimal('115.758860'))	Indian	839-56-2267
83	F	"18437 Cathy Corners
Davidberg, ME 29766"	Kelli Black	O-	26 Feb 1961	"5759 Tammy Locks Suite 221
South Tiffany, GA 66467"	(Decimal('67.861820'), Decimal('173.390905'))	White	891-11-7942
84	M	"6736 Robinson Meadows Suite 728
East Allenshire, LA 41991"	Dustin Walton	A-	1941/06/22	"93808 Jimenez Bridge
Michellestad, MA 83661"	(Decimal('22.9298995'), Decimal('-94.409858'))	Indian	846-99-5253
85	M	"632 Edward Lane Suite 507
Katherinechester, IA 79875"	Nicholas Johnson	A+	1935-11-21	"518 Gilbert Circles Suite 294
West Kyle, TN 44466"	(Decimal('-53.6806755'), Decimal('-126.321685'))	White	125-36-6693
86	F	"5462 Tiffany Ways Apt. 457
Port Darrell, NJ 40038"	Brittney Johnson	AB-	1942-04-25	"018 Jennifer Club
Harrismouth, NJ 28880"	(Decimal('-60.1079145'), Decimal('-85.180587'))	White	076-43-5508
87	M	"396 Chris Tunnel
Huntmouth, KY 56618"	Jason Robles	B+	1920-05-29	"627 Johnston Run Suite 078
West Williamport, WV 99180"	(Decimal('2.6134645'), Decimal('-33.364165'))	Black	687-01-6300
88	M	"389 Henry Corner
Morganburgh, NM 56153"	Grant Larson	B+	1926-06-07	"USNS Kelley
FPO AP 72606"	(Decimal('3.032288'), Decimal('-51.706746'))	Asian	575-05-0504
89	M	"02576 Kimberly Meadows
South Marioview, VT 96397"	Joshua Reed	A+	1992-05-15	"29229 Burch Light Suite 448
Port Katieberg, UT 08544"	(Decimal('26.934280'), Decimal('-128.124130'))	White	008-47-9828
90	M	"04058 Andre Garden Apt. 134
Webbshire, HI 04125"	Andrew Williams	AB-	11/16/1914, 00:00:00	"6033 Daniel Freeway
West Debramouth, LA 24185"	(Decimal('25.251284'), Decimal('-171.806013'))	White	485-95-4155
91	F	"291 Ray Ports
Port Mary, NM 53625"	Desiree Ford	B-	1972/02/15	"PSC 4187, Box 7380
APO AP 32408"	(Decimal('-85.580275'), Decimal('-20.753978'))	black	738-95-4374
92	M	"04859 Jones Point
Lake Courtneyburgh, AK 50652"	Kenneth Howard	AB+	1918/02/12	"37901 Daniels Terrace
Rebeccaside, GA 58432"	(Decimal('-85.876863'), Decimal('57.971208'))	White	727-26-3892
93	F	"41269 Washington Orchard
New Tamara, DE 61988"	Sarah Quinn	B+	1945/01/21	"32178 Smith Place
Duartefurt, FL 12036"	(Decimal('-24.523600'), Decimal('-52.309585'))	White	026-40-0572
94	M	"735 Monica Locks Apt. 131
Jenniferfort, OR 84890"	Jorge Lewis	AB-	1953/08/01	"7252 Martha Course Apt. 914
West James, MT 79206"	(Decimal('-77.8348745'), Decimal('-112.986838'))	Hawaiian	107-48-8667
95	M	"813 Taylor Villages Suite 292
New Martin, CA 01328"	Maurice Clark	A-	1928-05-17	"51217 Oneal Bridge
West Ericaville, NV 94266"	(Decimal('39.5037785'), Decimal('93.608935'))	White	224-57-9801
96	M	"8529 Davenport Mountain Suite 855
Solomonfort, MI 64858"	Vincent Humphrey	B+	1966/01/30	"Unit 4358 Box 0250
DPO AA 54166"	(Decimal('-66.753096'), Decimal('5.334441'))	Asian	351-02-9823
97	F	"0287 Orr Keys
Mosston, TN 66973"	Rebecca Martin	O-	1923/02/09	"974 Duncan Expressway
East Perryside, IN 59089"	(Decimal('-44.6148455'), Decimal('21.184097'))	White	162-50-5329
98	F	"49048 Gail Bypass
New Ericafort, WA 31845"	Jessica Cohen	AB+	11/17/1921, 00:00:00	"06203 David Extension Apt. 147
Karatown, NJ 22256"	(Decimal('-79.6144465'), Decimal('-1.079136'))	Black	864-52-9110
99	M	"257 Bailey Fords
West Timothy, MO 68801"	Christopher Ross	AB-	01/20/1912, 00:00:00	"00421 Brown Trafficway Apt. 860
South Kellyfurt, FL 88775"	(Decimal('-86.3961565'), Decimal('81.459610'))	blsck	247-25-4585
100	M	"6833 Gregory Locks
Hughesville, KY 45803"	Corey Simon	AB-	09/30/1908, 00:00:00	"70353 Neal Plaza Apt. 969
Smithfurt, WA 54643"	(Decimal('-60.0088435'), Decimal('142.741181'))	Black	149-48-9873
101	F	"780 Barnes Garden Suite 122
North Donnabury, NH 87080"	Gina Lamb	A+	05/18/1929, 00:00:00	"328 Regina Summit Suite 963
Johnsonborough, ID 19886"	(Decimal('26.3212325'), Decimal('41.968245'))	White	313-98-6993
102	F	"031 Ian Mountain
Davidmouth, TX 05333"	Leah Davis	O+	11/27/1920, 00:00:00	"919 Allison Green
Patriciaside, VA 24463"	(Decimal('-43.3624755'), Decimal('-43.026380'))	White	406-15-7980
103	F	"4125 Hall Camp Apt. 111
Port Ericmouth, ID 22813"	Karen Chandler	AB-	1918/04/12	"PSC 5494, Box 6184
APO AP 66485"	(Decimal('-74.0355485'), Decimal('174.584769'))	White	432-11-3096
104	F	"628 Sheila Pine Suite 485
Joshuaview, KY 44815"	Nicole Wilson	A-	07/13/1926, 00:00:00	"527 Brent Stream
East Michaelberg, WY 59099"	(Decimal('-81.032278'), Decimal('31.049579'))	White	773-91-5441
105	F	"052 Short Village Apt. 597
Martinville, TX 91677"	Jasmine Kane	O+	07 Aug 1929	"20989 Susan Glen
North Ana, UT 93812"	(Decimal('5.2271135'), Decimal('78.478486'))	Black	517-56-7131
106	F	"19634 James Glens
East Chris, VT 81495"	Loretta Huber	A+	12/03/1946, 00:00:00	"6228 Cassandra Lake Apt. 829
Wendyfurt, NH 60068"	(Decimal('-82.9925955'), Decimal('-93.039374'))	White	777-10-9445
107	F	"39787 Perry Mount
East Michaelfort, NV 70734"	Veronica Stone	A+	07/31/1939, 00:00:00	"70612 Andrea Hollow
East Brandi, RI 71575"	(Decimal('-24.876872'), Decimal('-63.229886'))	White	269-80-3325
108	F	"05283 Scott Dam
Port Joshua, MN 92550"	Mary Perez	AB-	1941-03-12	"869 Michael Lodge Suite 547
Vincentmouth, NJ 48845"	(Decimal('1.5144165'), Decimal('13.142835'))	White	559-71-1788
109	M	"949 Martin Gateway
Woodsport, WA 69725"	John Martinez	A+	1981/01/30	"6556 Collins Lights Suite 918
Brianville, MT 73451"	(Decimal('6.882575'), Decimal('-54.246552'))	White	007-01-8239
110	M	"895 Perez Mall
Port William, DE 19436"	Jeffrey Hammond	AB-	1909/02/13	"95390 Taylor Trafficway Suite 532
West Amandahaven, GA 84564"	(Decimal('-30.0382405'), Decimal('77.646986'))	White	117-96-4991
111	M	"198 Morales Light Suite 045
North Stephenstad, NH 87358"	Mark Lee	O-	1948/09/02	"45715 Brent Crest
South Peter, NY 90494"	(Decimal('60.239876'), Decimal('-78.314234'))	White	224-23-3955
112	F	"4853 Lewis Islands
East Laurenburgh, MO 90986"	Heather Brown	B-	12 Oct 1908	"721 Connie Ville
Thomasfurt, KY 62247"	(Decimal('-21.0302935'), Decimal('-11.313802'))	Black	408-37-9916
113	M	"80369 John Ports
Port Ryan, PA 45988"	Gabriel Garcia	A+	1964/03/23	"PSC 9614, Box 6686
APO AE 99251"	(Decimal('-21.1757135'), Decimal('-114.105355'))	Black	489-31-6764
114	F	"Unit 1885 Box 9504
DPO AA 97787"	Laura Armstrong	A-	12/27/1945, 00:00:00	"USNV Hicks
FPO AE 21565"	(Decimal('-19.4036785'), Decimal('135.223356'))	Black	414-95-9486
115	F	"53690 Jon Mill Apt. 256
Jordanfort, IA 98784"	Dr. Diana Glass MD	O-	2008/09/18	"16898 Jennifer Shoal Suite 167
Delgadoville, MN 24579"	(Decimal('39.519256'), Decimal('29.846292'))	black	110-16-7995
116	F	"5849 Jordan Via
Michaelview, WA 29651"	Stephanie Thomas	O-	1978/08/17	"84394 Christy Landing
Port Lukestad, MN 76897"	(Decimal('-26.5822785'), Decimal('37.989044'))	White	736-11-0397
117	F	"4711 Ian Mountains
Amandaburgh, AK 22303"	Stephanie Anderson	AB+	2002-04-09	"7398 Conley Parkway Apt. 758
North Williamstad, ND 38495"	(Decimal('66.2965265'), Decimal('-55.967204'))	Black	346-81-5714
118	M	"5958 Li Rest
East Heather, MA 46988"	Jordan Washington	A-	17 Mar 1942	"9542 Matthew Mission
Lake Danielstad, CO 13035"	(Decimal('9.6008785'), Decimal('-115.994221'))	Asian	217-78-3935
119	F	"977 Edwards Throughway Apt. 771
Coffeyberg, ME 31471"	Rebecca Davis	AB+	03/18/1945, 00:00:00	"63047 Kaufman Bypass
North James, DC 43792"	(Decimal('85.3971555'), Decimal('123.495513'))	blsck	577-78-8528
120	F	"9488 Sexton Alley
South Leslie, AK 67638"	Victoria Hines	O-	28 Jun 1917	"28861 Lawson Pike Apt. 743
New Donna, CT 54442"	(Decimal('73.1279575'), Decimal('-71.605613'))	White	040-76-7812
