	er-cv	erytrocyty	hemoglobin	ast	ssn	smoker	relationship	leukocyty	alp	etytr	alt	hbver	indicator	hematokrit	name	weight	trombocyty
55	38.67621	5.14299	3.30947	58.44186	525-49-8089	no	divoced	4.69023	9.50138	6.61775	14.43304	5.80458	0.00000	6.21484	Katrina Anderson	50.50877	5.75260
56	46.31978	6.16712	5.32258	53.10182	857-65-6414	Y	divoced	4.14726	77.14474	4.88743	15.63010	5.89467	0.00000	5.39182	Denise Thomas	115.71786	5.74072
57	73.25527	6.29375	3.36384	54.06790	198-90-4530	yes	single	4.77409	9.82823	8.56798	15.69587	7.58751	0.00000	6.19976	Steven Lucas	71.58515	7.26040
58	57.96468	5.71217	5.43266	48.18670	054-43-5445	N	married	4.76860	77.74695	7.74729	14.52053	4.20945	1.00000	6.12383	Renee Lyons	83.61670	4.33666
59	59.88429	5.25333	4.31757	58.73674	541-33-3327	no	married	6.10479	38.05047	6.27044	8.80421	3.50626	1.00000	6.48021	Sarah Fisher	25.88007	3.79447
60	46.40207	5.18581	3.39491	53.96140	207-29-9153	no	divoced	6.12647	12.92786	7.57123	12.97342	6.83095	0.00000	5.24715	Heather Odom	79.66730	6.23795
61	39.81462	5.73892	6.68830	51.52303	556-21-9335	no	nop	7.54237	75.96375	4.13522	8.99084	8.89887	0.00000	5.69764	Tara Rodriguez	57.56768	5.09796
62	53.15458	4.91449	5.87559	40.98718	453-98-9959	N	widowed	5.07872	81.44456	6.11322	10.29443	6.57356	1.00000	5.85008	Timothy Chan	97.57588	5.38023
63	51.87718	7.46341	8.17887	38.65602	706-36-9174	Y	single	4.83910	34.33434	7.65895	19.80083	5.77097	1.00000	5.22065	Jessica Castillo	41.54016	2.84238
64	59.82225	5.51495	5.15393	62.22893	715-09-7437	no	single	6.31074	68.77846	5.64872	6.81506	7.95977	0.00000	5.87613	Andrea Thomas	38.48442	3.84748
65	62.27639	3.93598	4.28092	47.36341	809-74-8670	no	divoced	4.22052	33.83634	6.66916	15.21300	5.72538	0.00000	6.79050	Nathan Pratt	54.58484	5.96142
66	42.67323	5.26104	7.12852	55.80790	199-33-7584	yes	nop	4.64760	69.37246	5.94336	12.60298	7.57780	1.00000	5.09412	Kenneth Green	45.73288	3.65638
67	47.32771	5.10172	5.13847	36.27609	672-15-2217	yes	widowed	4.34424	59.82231	6.20551	9.74500	6.44757	1.00000	4.67508	Regina King	30.12717	6.28937
68	49.63014	6.10723	6.86154	40.01345	344-81-3658	no	married	6.63474	86.17024	6.60851	9.54136	6.83527	1.00000	6.77610	David Cuevas	68.42562	4.38515
69	44.60840	5.55417	7.84168	51.60827	609-57-9734	no	single	4.91020	53.52304	9.25794	16.01108	6.81491	1.00000	4.54509	William Beck	103.98822	3.08562
70	48.35959	5.82417	3.38461	48.16953	836-42-5066	no	divoced	5.97109	16.51677	6.05936	7.25610	2.64150	1.00000	7.56427	William Moore	115.06841	4.75024
71	48.05007	6.31901	4.80773	66.82639	401-05-6462	no	married	6.33937	48.76600	6.63872	7.93108	7.23577	0.00000	5.73698	Christopher Davidson	103.76117	4.10132
72	30.92381	7.55003	3.97677	55.49393	399-51-1383	no	divoced	6.23597	25.42087	6.42688	21.48157	6.41300	1.00000	7.17216	Todd Hart	76.89450	5.32244
73	41.92761	5.55236	5.67170	52.35524	074-37-7586	yes	divoced	6.61202	91.34418	6.52036	10.66287	6.83747	1.00000	5.57948	Vickie Flores	72.84948	5.43060
74	52.01765	6.45579	5.66603	59.34801	571-94-9590	no	nop	7.78270		9.16048	12.20810	5.78484	1.00000	4.36361	Stacey Garner	56.26434	1.92270
75	44.65861	6.11309	5.62228	33.78341	722-92-0314	yes	separated	4.58219	75.24101	5.46472	15.83653	7.43323	0.00000	5.26444	Peter Hamilton	122.42067	5.24782
76	41.72060	5.79888	3.04633	72.44046	865-09-3529	yes	widowed	5.61693	13.52012	5.55756	11.33657	2.88202	1.00000	3.92810	Jacob Hernandez	50.55177	5.42388
77	43.73118	5.72773	5.95273	61.12759	729-26-2479	yes	divoced	4.39709	90.12873	8.25701	7.30277	5.74868	1.00000	4.89125	Daniel Carrillo	65.03848	3.75241
78	33.03463	5.71658	6.34543	47.48537	652-02-7598	yes	widowed	4.99089	82.77083	7.35880	11.09395	7.46385	1.00000	6.91335	Carol Lawson	120.99146	4.48817
79	32.85740	3.38764	6.34614	50.40766	107-25-6764	yes	divoced	4.15596	88.83164	8.54637	8.76962	7.05421	1.00000	6.03372	Larry Greene	77.41267	4.62849
80	57.08644	6.79389	6.44432	42.20502	417-25-8385	no	married	6.28065	96.66638	8.52909	12.85517	6.22403	1.00000	4.49173	David Valdez	104.50571	3.52499
81	87.58856	6.96881	3.49953	31.18677	429-19-5846	no	separated	5.04678	7.44578	6.63175	14.31920	3.22614	1.00000	6.13048	Diana Clark	49.61008	5.36990
82	60.91826	4.50792	2.95139	68.26716	403-76-4749	yes	single	6.60661	9.16969	7.30016	7.31788	5.95621	0.00000	6.17560	Brandon Bowen	67.36947	5.98259
83	26.40478	6.44405	5.10591	43.96891	053-64-9045	no	divoced	4.90872	60.61295	5.93289	11.66872	5.31585	1.00000	4.68111	Michelle Roy	84.22688	6.73398
84	43.11086	5.64501	6.55711	29.25964	649-68-6050	no	separated	3.93813	90.55306	7.84467	10.54285	6.42381	0.00000	3.08441	Patricia Peterson	67.40749	6.11085
85	45.20229	5.22698	8.08388	56.64551	786-03-7995	N	divoced	3.09935	42.14329	6.95664	4.31982	7.45669	1.00000	4.77331	Pamela Stephens	27.55682	2.69834
86	26.49059	8.37821	6.78213	55.88487	856-12-8378	N	divoced	3.98114	78.83615	7.03619	34.58063	5.80458	1.00000	5.73350	Roberto Duffy	60.98187	4.63773
87	56.45864		4.35611	63.00271	579-85-2195	N	married	5.94242	29.01489	5.44184	13.17773	5.22467	1.00000	5.71073	Megan Prince	60.28900	5.67540
88	49.24133	5.91235	5.02560	60.67225	583-94-3881	yes	separated	6.18841	59.44914	6.89611	14.79210	5.67875	0.00000	4.98413	Destiny Dawson	111.45331	6.38409
89	27.23159	6.80284		52.76135	172-35-3312	yes	nop	5.60829	9.67566	2.76316	11.70469	5.19470	1.00000	6.13817	Robert Barnes	68.68928	9.38893
90	54.19855	3.62922	4.78957	27.64869	411-01-3806	yes	widowed	6.27339	47.24324	6.11934	9.36701	7.04662	0.00000	5.15032	Derrick Ross	146.97056	4.63415
91	71.54478	6.14081	5.23683	41.73182	567-09-8917	yes	married	6.56783	74.04168	6.35282	14.57988	7.14436	0.00000	5.23251	Lori Hopkins	103.10386	4.76628
92	39.73454	4.96533	6.56655	45.72272	654-82-4107	no	widowed	6.55835	93.77733	5.35492	8.11402	6.09176	1.00000	5.88004	Carl Thompson	151.25784	4.70794
93	52.14003	4.68294	3.52977	59.86893	770-97-6661	no	single	4.66751	12.87717	4.53306	12.21987	4.81447	1.00000	6.40005	Kevin Rose	84.79870	6.53522
94	40.31222	5.37317	4.73872	41.29166	767-92-6758	no	married	6.40290	45.62860	6.35640	12.21873	7.48386	0.00000	5.40011	Thomas Martinez	22.48802	3.95655
95	48.76583	2.77074	5.33143	51.14785	777-83-6667	no	widowed	4.22257	78.52044	8.30411	9.56538	7.62377	0.00000	5.31825	Matthew Green	33.93893	6.75927
96	34.78049	5.17618	4.68975	58.47544	777-54-4459	Y	married	7.01143	49.16179	5.22675	11.27585	5.47559	1.00000	6.59561	Lee Barnes	22.29585	4.58549
97		6.64543	4.39998	41.76663	359-94-5247	Y	single	5.46470	34.34179	5.82913	17.63059	6.32310	0.00000	5.83731	Bethany Lee	116.27970	6.10765
98	37.94820	8.19832	8.58698	74.04384	846-01-7606	yes	nop	6.53419	21.92769	8.21266	28.88686	8.03861	1.00000	5.37598	Morgan Stanley	37.38479	1.84782
99	62.20629	6.35651	5.94098	51.62582	149-74-6128	yes	nop	4.80842	89.77721	5.07289	12.48655	9.53014	0.00000	6.32269	Diane Morales	34.48286	2.88682
100	54.32397	5.42431	4.33636	53.18099	008-47-9828	Y	single	4.51832	32.47078	7.24452	13.05625	3.24052	1.00000	6.55880	Joshua Reed	14.11443	2.23037
101	47.92235	6.46791	2.96597	55.83287	316-53-0730	no	nop	4.73188	10.76250	7.11404	13.49586	5.79774	0.00000	3.64081	Mike Villegas	121.15937	5.82110
102	43.36001	5.87865	5.40791	44.81107	507-65-1014	Y	married	6.97369	68.62345	6.22016	7.23541	6.19239	0.00000	6.80005	Mrs. Jennifer Davis	35.47460	6.37624
103	46.78557	6.14705	6.55223	61.96372	234-70-3102	N	nop	5.43247	90.42939	5.30321	10.38421	7.62106	0.00000	3.99763	Gregory Vargas	92.03060	5.85279
104	58.85910	4.87615	3.05521	30.31419	261-05-8482	no	married	6.85993	11.55599	4.64887	7.82637	3.78499	1.00000	6.13818	Nicole Fisher	-0.87961	5.51596
105	63.10596	5.81014	4.44733	56.09201	844-70-0218	N	single	7.57546	47.64576	6.93902	8.07021	4.33769	1.00000	4.50294	Jay Smith	82.41830	2.60755
106	48.74897	5.70300	8.66597	50.07977	403-62-0057	no	separated	5.52942	20.66979	8.10027	12.67020	7.30004	1.00000	4.85192	Shelby Blankenship	86.00905	2.01607
107	57.10650	5.39245	8.11581	68.36955	553-20-1928	yes	single	3.63240	36.94398	8.21015	10.74042	8.46601	1.00000	5.26730	Eric Walsh	48.11606	2.25895
108	60.36253	6.54590	4.18636	54.07987	667-72-5796	no	single	5.45905	31.42721	6.81594	14.73380	3.68022	1.00000	3.73581	Stephen Nielsen	0.11551	3.35210
109	55.44162	6.69096	2.41181	31.93971	206-53-3406	no	single	5.05523	22.47969	9.52643	15.66651	5.13471	0.00000	5.67065	Todd Mays	92.27677	3.12619
110	29.59438	5.99731	3.97010	65.03161	814-57-6335	Y	divoced	4.10206	22.79357	7.85029	15.30073	5.40253	0.00000	5.67091	Michael Lynn	72.01907	5.26022
111	49.38944	6.28272	4.13905	55.88839	631-04-2174	Y	nop	5.08422	25.92766	6.51372	12.32931	6.98214	0.00000	6.29040	Brenda Howell	109.56462	4.06726
112	48.58758	5.82204	7.56124	63.02918	804-69-3079	no	nop	6.14447	59.48117	7.72544	9.47596	8.17939	1.00000	4.96669	David Jones	49.01790	2.77352
113	36.27851	5.78209	4.89977	59.25275	510-11-7712	Y	single	6.64414	57.70747	7.23230	15.98168	4.74233	1.00000	5.10374	Alyssa Johnson	14.49697	4.56097
114	28.61836	6.28352	6.64958	58.90938	884-63-9525	Y	widowed	7.00653	87.11871	6.32474	14.31540	6.68631	1.00000	4.63485	Erica Wheeler	31.58381	4.45410
115	62.47553	6.18283	3.50935	61.23637	665-74-6791	Y	single	6.69549	18.67454	7.29962	9.85744	6.08942	0.00000	4.75304	Kristina Aguirre	54.80259	4.15403
116	51.74694	4.43754	7.13778	31.22760	497-22-3839	no	nop	6.76070	78.75377	6.42178	8.39500	8.05584	1.00000	7.19440	Jake Simon	96.70322	3.60462
117	50.73744	6.68175	4.33682	42.62211	533-66-3735	no	married	5.14102	29.51116	5.45559	19.99982	4.85758	0.00000	4.65201	Douglas Stark	6.89815	5.87073
118	45.24158	4.53472	3.69918	59.72777	367-54-6570	Y	married	6.52288	13.88865	5.28886	11.69063	5.19294	1.00000	5.95715	Kevin Willis	92.25368	8.45205
119	48.19623	6.35480	5.26564	40.54862	592-14-1349	yes	divoced	4.39027	69.59459	7.25723	20.41924	7.22301	0.00000	4.92853	Samuel Oconnor	33.36589	6.71734
120	0.00000	4.62111	3.59257	43.02808	427-04-5187	Y	widowed	5.47388	20.84099	10.04534	8.58532	7.66897	0.00000	4.73431	Jody Summers	59.03476	8.60784
121	81.21675	6.81261	4.94962	31.96525	411-01-3806	Y	single	4.31702	58.29436	6.07632	19.42648	6.54365	1.00000	4.46518	Derrick Ross	77.68238	6.59074
122	31.98756	3.87685	2.67077	53.96397	086-99-9577	N	widowed	4.79329	11.88371	4.79475	9.72608	5.33551	0.00000	4.99722	Debra Williams	48.81456	5.38040
123	73.47269	6.19249	4.06956	54.31057	113-47-6578	yes	divoced	5.57343	19.23475	5.36050	14.41410	3.26314	1.00000	5.41189	Christopher Branch	130.08261	4.63570
124	30.99325	4.29954	4.74450	53.28426	485-90-2533	no	nop	7.85790	51.33139	5.65027	6.47559	6.06532	0.00000	5.13980	Stephanie Castillo	93.11890	6.45661
125	23.75964	4.80329	6.30151	42.19722	596-48-8831	no	widowed	3.42115	88.89486	7.24551	12.63763	6.16813	1.00000	5.91275	Judith Fisher	35.96855	5.16862
126	51.79077	4.81418		67.46957	529-29-5967	no	widowed	6.64474	57.23180	8.85984	9.87896	7.73193	0.00000	5.88230	Cindy Bell	60.34871	7.31621
127	48.36329	5.28397	3.34243	50.88207	192-23-3955	N	divoced	5.88071	10.63159	6.59014	10.30788	3.73510	1.00000	5.02412	David Edwards	66.58731	5.44817
128	63.61898	4.95568	7.44240	33.21492	691-40-7535	no	divoced	3.87301	65.26419	7.64636	5.62906	7.80602	1.00000	6.99754	Crystal Davis	95.97089	3.10613
129	53.62060	5.57227	4.09776	65.56840	037-88-6896	no	widowed	6.20135	31.56779	6.72637	12.33925	7.88218	0.00000	4.23772	Shannon Larson	55.07101	2.54804
130	56.46763	7.98243	5.26409	66.44094	668-84-7834	no	single	6.26843	69.31545	5.99482	31.43298	5.85561	0.00000	4.34313	Zoe Turner	102.52716	6.96638
131	32.18423	4.82759	5.31205	40.43534	811-70-0204	Y	married	6.97526	74.13626	5.31775	12.00181	6.81090	0.00000	4.98557	Elizabeth White	41.12748	6.91883
132	53.42983	3.67053	5.55668	52.61778	690-65-6938	Y	married	5.36659	79.65068	8.22399	9.50083	4.65776	1.00000	5.78412	Lisa Edwards	94.15367	3.90375
133	43.84974	6.14590	3.23426	53.98471	444-48-3361	yes	married	5.44313	11.04045	6.12391	12.13552	3.12670	1.00000	5.34623	Roberto Dodson	41.49016	2.88416
134	44.30265	6.88121	8.13664	65.37884	363-94-5890	Y	divoced	5.68372	49.59943	8.52106	19.75671	8.35893	1.00000	5.97074	Erika Gomez	134.78659	2.07837
135	52.16770	4.24736	6.08700	37.08983	499-51-6203	no	single	4.71460	81.42454	8.56867	14.06348	9.66988	0.00000	5.91225	Christie Hawkins	59.85329	9.10721
136	67.95477	6.51586	7.63029	58.36155	149-31-6346	no	nop	6.93553	59.70030	6.61547	15.78316	5.68595	1.00000	5.69499	Ryan Michael	24.62920	3.73286
137	65.47119	3.63106	3.65761	33.80588	499-31-9958	no	divoced	6.28163	14.52916	7.11087	11.68740	6.18845	0.00000	5.05432	David Foster	79.21862	4.43904
138	44.95738	5.13892	3.85971	61.41329	344-81-3658	no	divoced	6.65817	19.58870	6.21103	9.33492	4.12027	1.00000	4.11437	David Cuevas	119.70475	4.97552
139	49.14029	5.56546	5.29636	48.31540	364-99-8174	N	married	6.45711	60.95558	7.17465	15.38067	4.35845	1.00000	6.65067	Luke Wilkins	88.61696	4.80654
140	77.43613	6.05259	5.82380	39.37920	367-65-2918	no	married	5.23649	93.48931	4.18624	12.62392	6.66046	1.00000	3.19173	Marie Shepherd	16.58931	5.66658
141	47.72039	5.77726	2.49520	47.75347	545-90-7125	Y	widowed	5.67584	15.15797	4.03580	15.64507	2.11141	1.00000	4.66735	Cody Phillips	90.96842	3.84286
142	46.37208	7.90080	3.00782	41.44574	750-12-6364	yes	nop	4.97955	13.70596	5.34095	28.21886	4.47984	0.00000	4.44948	Marvin Mills	189.32392	4.93582
143	43.38207	5.92432	6.87168	35.64404	312-03-3453	Y	single	4.83229	87.84046	8.14005	8.43542	6.79055	0.00000	5.54376	Mary Hernandez	115.42323	6.56339
144	32.97564	6.55692	5.97597	50.66893	314-90-9938	no	single	5.27454	95.04280	5.85823	12.84884	6.46704	1.00000	4.68235	Mr. Larry Torres MD	108.02019	5.41797
145	53.85894	3.89727	5.93367	40.16609	072-42-1859	Y	divoced	5.42529	84.66930	5.66121	8.34817	6.34119	1.00000	6.62836	Katrina Schneider	83.41254	5.58963
146	45.85521	7.55032	6.00175	27.79619	839-56-2267	no	married	3.93444	84.71762	7.09224	20.26390	5.21458	1.00000	5.24154	Louis Cook	91.83007	5.65980
147	60.13711	5.16336	2.52587	35.22163	579-81-9008	no	widowed	5.61759	12.13387	4.99025	14.01773	4.76439	1.00000	6.12118	Karen Simmons	-7.68686	5.67595
148	63.15143	7.26189	5.37765	43.29969	030-82-2592	no	single	6.15852	69.48011	8.54694	16.51646	3.51301	1.00000	4.72985	Laurie Lee	78.99027	1.56334
149	52.59935	5.14830	6.51802	52.77612	674-01-7110	no	nop	7.17204	89.73072	6.81459	11.23656	6.91923	0.00000	4.68604	Brian Jones	117.87612	4.40183
150	41.64850	3.79594	5.37874	71.45468	481-53-9590	Y	separated	6.53958	74.10978	6.83538	8.53659	6.11983	1.00000	5.58594	Shaun Hensley	109.60794	4.54237
151	44.35375	6.92825	2.04572	42.71710	393-84-1240	no	nop	6.12224	35.77561	4.35160	13.37052	2.87720	0.00000	5.44893	Catherine Christensen	55.07276	6.41391
152	28.12095	5.72376	4.17465	60.56239	038-96-0800	no	single	6.13519	22.96805	5.71110	11.03456	4.55311	1.00000	5.17507	Robyn Cummings	32.83043	4.35846
153	2.13477	5.02671	5.17010	66.49959	667-67-2854	no	divoced	7.85331	63.64158	5.07820	11.15588	8.52677	0.00000	5.93326	Maureen Ramsey	131.32541	3.64938
154	49.12212	4.91333	4.85299	51.41415	044-40-1199	no	single	5.67732	57.73232	5.73045	14.38480	3.60993	1.00000	5.07696	Marcus Taylor	19.52574	3.30021
155	56.80425	6.50224	9.18251	54.90323	050-13-8817	no	single	5.98125	5.49097	9.58721	12.97460	7.44301	1.00000	5.25929	Samantha Rubio	58.58168	1.22635
156	31.19302	6.10253	7.20836	58.91945	766-39-4163	no	nop	6.65545	74.13919	9.71712	14.22973	6.12668	1.00000	5.52058	Bryan Schmidt	130.60093	3.88958
157	56.62715	4.28646	6.52864	57.00881	490-32-8482	no	widowed	5.46796	89.07543	5.03353	12.38394	7.43337	0.00000	6.66916	Jason Garcia	58.15875	6.27140
